aadam
abdullah
adi
ahmed
alauddin
alia
alice
amina
anand
andy
ayooba
aziz
baloch
bi-appah
bibi
bose
boy
braganza
brigadier
burns
catrack
chisti
colaco
commander
cooch
croaker
crusoe
cyrus
d'costa
dar
das
deshmukh
doctor
dom
dubash
durga
emerald
emil
evie
eyeslice
farooq
fat
fishwala
general
ghani
glandy
great
hairoil
hammdard
hand
hanif
homi
hummingbird
ibrahim
ilse
ingrid
ishaq
iskandar
ismail
jamila
jimmy
johny
joseph
kapadia
keith
khan
khusrovand
kushro
lala
latif
leylah
lifafa
lila
lilith
lord
lubin
maharaja
maj
major
manekshaw
mangroli
markandaya
mary
masha
master
methwold
mian
minto
miovic
moin
mr
mrs
mumtaz
musa
mustapha
mutasim
nadir
naheen
najmuddin
narada
narlikar
naseem
niazi
nussie
oskar
padma
parvati-the-witch
perce
pereira
pereira
pia
picture
post
puffias
puffs
purushottam
ramram
rani
rasheed
resham
rickshawman
roshanara
rushdie
sabarmati
sabarmati
saleem
sam
sargent 
schaapsteker
seth
sgt
shaheed
shetty
shiva
shri
shrof
sinai
singh
sonia
sonny
soumitra
sundari
suresh
tai
tiger
toxy
uncle
vaheel
vanita
viram
vishwanath
wee
widow
widow's
william
willie
winkie
zafar
zagaloo
zulfikar
