"","row.names.topic_doc_probs.","topic_doc_probs...topic.no."
"44","Brief History of Seven Killings, A - Marlon James_044.txt",0.155487804878049
"56","Brief History of Seven Killings, A - Marlon James_056.txt",0.119186046511628
"60","Brief History of Seven Killings, A - Marlon James_060.txt",0.185975609756098
"61","Brief History of Seven Killings, A - Marlon James_061.txt",0.17379679144385
"66","Brief History of Seven Killings, A - Marlon James_066.txt",0.15546218487395
"69","Brief History of Seven Killings, A - Marlon James_069.txt",0.171140939597315
"74","Brief History of Seven Killings, A - Marlon James_074.txt",0.152597402597403
"75","Brief History of Seven Killings, A - Marlon James_075.txt",0.125
"76","Brief History of Seven Killings, A - Marlon James_076.txt",0.162420382165605
"77","Brief History of Seven Killings, A - Marlon James_077.txt",0.15625
"83","Brief History of Seven Killings, A - Marlon James_083.txt",0.118181818181818
"91","Brief History of Seven Killings, A - Marlon James_091.txt",0.110778443113772
"101","Brief History of Seven Killings, A - Marlon James_101.txt",0.136871508379888
"102","Brief History of Seven Killings, A - Marlon James_102.txt",0.121468926553672
"107","Brief History of Seven Killings, A - Marlon James_107.txt",0.175925925925926
"110","Brief History of Seven Killings, A - Marlon James_110.txt",0.11986301369863
"120","Brief History of Seven Killings, A - Marlon James_120.txt",0.203225806451613
"121","Brief History of Seven Killings, A - Marlon James_121.txt",0.170658682634731
"122","Brief History of Seven Killings, A - Marlon James_122.txt",0.110119047619048
"124","Brief History of Seven Killings, A - Marlon James_124.txt",0.12037037037037
"125","Brief History of Seven Killings, A - Marlon James_125.txt",0.115131578947368
"126","Brief History of Seven Killings, A - Marlon James_126.txt",0.149006622516556
"131","Brief History of Seven Killings, A - Marlon James_131.txt",0.130281690140845
"138","Brief History of Seven Killings, A - Marlon James_138.txt",0.125
"139","Brief History of Seven Killings, A - Marlon James_139.txt",0.177083333333333
"140","Brief History of Seven Killings, A - Marlon James_140.txt",0.269480519480519
"141","Brief History of Seven Killings, A - Marlon James_141.txt",0.203448275862069
"142","Brief History of Seven Killings, A - Marlon James_142.txt",0.163194444444444
"143","Brief History of Seven Killings, A - Marlon James_143.txt",0.233333333333333
"148","Brief History of Seven Killings, A - Marlon James_148.txt",0.162576687116564
"149","Brief History of Seven Killings, A - Marlon James_149.txt",0.13671875
"153","Brief History of Seven Killings, A - Marlon James_153.txt",0.155797101449275
"154","Brief History of Seven Killings, A - Marlon James_154.txt",0.246794871794872
"155","Brief History of Seven Killings, A - Marlon James_155.txt",0.152985074626866
"156","Brief History of Seven Killings, A - Marlon James_156.txt",0.192307692307692
"160","Brief History of Seven Killings, A - Marlon James_160.txt",0.172077922077922
"163","Brief History of Seven Killings, A - Marlon James_163.txt",0.129310344827586
"165","Brief History of Seven Killings, A - Marlon James_165.txt",0.146706586826347
"173","Brief History of Seven Killings, A - Marlon James_173.txt",0.192307692307692
"175","Brief History of Seven Killings, A - Marlon James_175.txt",0.219298245614035
"177","Brief History of Seven Killings, A - Marlon James_177.txt",0.137426900584795
"180","Brief History of Seven Killings, A - Marlon James_180.txt",0.116071428571429
"181","Brief History of Seven Killings, A - Marlon James_181.txt",0.132768361581921
"187","Brief History of Seven Killings, A - Marlon James_187.txt",0.142405063291139
"191","Brief History of Seven Killings, A - Marlon James_191.txt",0.287790697674419
"194","Brief History of Seven Killings, A - Marlon James_194.txt",0.194078947368421
"200","Brief History of Seven Killings, A - Marlon James_200.txt",0.112121212121212
"201","Brief History of Seven Killings, A - Marlon James_201.txt",0.165584415584416
"203","Brief History of Seven Killings, A - Marlon James_203.txt",0.185483870967742
"204","Brief History of Seven Killings, A - Marlon James_204.txt",0.15
"205","Brief History of Seven Killings, A - Marlon James_205.txt",0.13905325443787
"208","Brief History of Seven Killings, A - Marlon James_208.txt",0.130813953488372
"217","Brief History of Seven Killings, A - Marlon James_217.txt",0.135057471264368
"219","Brief History of Seven Killings, A - Marlon James_219.txt",0.110062893081761
"220","Brief History of Seven Killings, A - Marlon James_220.txt",0.155487804878049
"222","Brief History of Seven Killings, A - Marlon James_222.txt",0.136942675159236
"223","Brief History of Seven Killings, A - Marlon James_223.txt",0.225
"224","Brief History of Seven Killings, A - Marlon James_224.txt",0.205202312138728
"225","Brief History of Seven Killings, A - Marlon James_225.txt",0.136871508379888
"229","Brief History of Seven Killings, A - Marlon James_229.txt",0.13
"230","Brief History of Seven Killings, A - Marlon James_230.txt",0.202054794520548
"231","Brief History of Seven Killings, A - Marlon James_231.txt",0.115384615384615
"232","Brief History of Seven Killings, A - Marlon James_232.txt",0.13758389261745
"233","Brief History of Seven Killings, A - Marlon James_233.txt",0.180921052631579
"234","Brief History of Seven Killings, A - Marlon James_234.txt",0.143312101910828
"236","Brief History of Seven Killings, A - Marlon James_236.txt",0.114814814814815
"237","Brief History of Seven Killings, A - Marlon James_237.txt",0.194656488549618
"238","Brief History of Seven Killings, A - Marlon James_238.txt",0.154545454545455
"268","Brief History of Seven Killings, A - Marlon James_268.txt",0.262658227848101
"270","Brief History of Seven Killings, A - Marlon James_270.txt",0.15
"271","Brief History of Seven Killings, A - Marlon James_271.txt",0.137640449438202
"272","Brief History of Seven Killings, A - Marlon James_272.txt",0.138235294117647
"276","Brief History of Seven Killings, A - Marlon James_276.txt",0.203125
"281","Brief History of Seven Killings, A - Marlon James_281.txt",0.152597402597403
"282","Brief History of Seven Killings, A - Marlon James_282.txt",0.128289473684211
"288","Brief History of Seven Killings, A - Marlon James_288.txt",0.149122807017544
"290","Brief History of Seven Killings, A - Marlon James_290.txt",0.357142857142857
"291","Brief History of Seven Killings, A - Marlon James_291.txt",0.117834394904459
"292","Brief History of Seven Killings, A - Marlon James_292.txt",0.148026315789474
"294","Brief History of Seven Killings, A - Marlon James_294.txt",0.132258064516129
"301","Brief History of Seven Killings, A - Marlon James_301.txt",0.18944099378882
"302","Brief History of Seven Killings, A - Marlon James_302.txt",0.223118279569892
"305","Brief History of Seven Killings, A - Marlon James_305.txt",0.185294117647059
"324","Brief History of Seven Killings, A - Marlon James_324.txt",0.123493975903614
"327","Brief History of Seven Killings, A - Marlon James_327.txt",0.128571428571429
"332","Brief History of Seven Killings, A - Marlon James_332.txt",0.13961038961039
"333","Brief History of Seven Killings, A - Marlon James_333.txt",0.132432432432432
"339","Brief History of Seven Killings, A - Marlon James_339.txt",0.133116883116883
"340","Brief History of Seven Killings, A - Marlon James_340.txt",0.15
"341","Brief History of Seven Killings, A - Marlon James_341.txt",0.186390532544379
"342","Brief History of Seven Killings, A - Marlon James_342.txt",0.181528662420382
"343","Brief History of Seven Killings, A - Marlon James_343.txt",0.140804597701149
"344","Brief History of Seven Killings, A - Marlon James_344.txt",0.125698324022346
