"","row.names.topic_doc_probs.","topic_doc_probs...topic.no."
"1092","Midnight's Children - Salman Rushdie_258.txt",0.189516129032258
"1095","Midnight's Children - Salman Rushdie_261.txt",0.154867256637168
"1097","Midnight's Children - Salman Rushdie_263.txt",0.124
"1098","Midnight's Children - Salman Rushdie_264.txt",0.172794117647059
"1099","Midnight's Children - Salman Rushdie_265.txt",0.151162790697674
"1101","Midnight's Children - Salman Rushdie_267.txt",0.205645161290323
"1104","Midnight's Children - Salman Rushdie_270.txt",0.15530303030303
"1107","Midnight's Children - Salman Rushdie_273.txt",0.147321428571429
"1109","Midnight's Children - Salman Rushdie_275.txt",0.114814814814815
"1114","Midnight's Children - Salman Rushdie_280.txt",0.15546218487395
"1117","Midnight's Children - Salman Rushdie_283.txt",0.138655462184874
"1120","Midnight's Children - Salman Rushdie_286.txt",0.111538461538462
"1121","Midnight's Children - Salman Rushdie_287.txt",0.121848739495798
"1124","Midnight's Children - Salman Rushdie_290.txt",0.144859813084112
"1129","Midnight's Children - Salman Rushdie_295.txt",0.207317073170732
"1137","Midnight's Children - Salman Rushdie_303.txt",0.15
"1142","Midnight's Children - Salman Rushdie_308.txt",0.137755102040816
"1146","Midnight's Children - Salman Rushdie_312.txt",0.200819672131148
"1147","Midnight's Children - Salman Rushdie_313.txt",0.148351648351648
"1148","Midnight's Children - Salman Rushdie_314.txt",0.140776699029126
"1151","Midnight's Children - Salman Rushdie_317.txt",0.165178571428571
"1162","Midnight's Children - Salman Rushdie_328.txt",0.1125
"1163","Midnight's Children - Salman Rushdie_329.txt",0.123931623931624
"1164","Midnight's Children - Salman Rushdie_330.txt",0.154205607476636
"1175","Midnight's Children - Salman Rushdie_341.txt",0.133587786259542
"1190","Midnight's Children - Salman Rushdie_356.txt",0.136029411764706
"1197","Midnight's Children - Salman Rushdie_363.txt",0.117391304347826
"1201","Midnight's Children - Salman Rushdie_367.txt",0.136363636363636
"1214","Midnight's Children - Salman Rushdie_380.txt",0.229838709677419
"1224","Midnight's Children - Salman Rushdie_390.txt",0.140909090909091
"1228","Midnight's Children - Salman Rushdie_394.txt",0.161654135338346
"1229","Midnight's Children - Salman Rushdie_395.txt",0.154867256637168
"1231","Midnight's Children - Salman Rushdie_397.txt",0.138655462184874
"1234","Midnight's Children - Salman Rushdie_400.txt",0.116379310344828
"1242","Midnight's Children - Salman Rushdie_408.txt",0.154867256637168
"1243","Midnight's Children - Salman Rushdie_409.txt",0.126086956521739
"1245","Midnight's Children - Salman Rushdie_411.txt",0.116541353383459
"1248","Midnight's Children - Salman Rushdie_414.txt",0.121621621621622
"1252","Midnight's Children - Salman Rushdie_418.txt",0.156779661016949
"1254","Midnight's Children - Salman Rushdie_420.txt",0.120535714285714
"1255","Midnight's Children - Salman Rushdie_421.txt",0.14622641509434
"1256","Midnight's Children - Salman Rushdie_422.txt",0.113445378151261
"1265","Midnight's Children - Salman Rushdie_431.txt",0.140151515151515
"1266","Midnight's Children - Salman Rushdie_432.txt",0.130630630630631
"1270","Midnight's Children - Salman Rushdie_436.txt",0.155
"1343","Milkman - Anna Burns_073.txt",0.132142857142857
"1368","Milkman - Anna Burns_098.txt",0.132575757575758
"1379","Milkman - Anna Burns_109.txt",0.111570247933884
"1464","Milkman - Anna Burns_194.txt",0.117924528301887
"1512","Milkman - Anna Burns_242.txt",0.128676470588235
"1514","Milkman - Anna Burns_244.txt",0.117857142857143
"1530","Narrow Road to the Deep North, The - Flanagan, Richard_003.txt",0.120833333333333
"1733","Narrow Road to the Deep North, The - Flanagan, Richard_206.txt",0.126016260162602
"1747","Narrow Road to the Deep North, The - Flanagan, Richard_220.txt",0.125
"1749","Narrow Road to the Deep North, The - Flanagan, Richard_222.txt",0.119354838709677
"1797","Sellout, The - Paul Beatty_025.txt",0.111570247933884
"1801","Sellout, The - Paul Beatty_029.txt",0.12015503875969
"1951","Testaments, The - Margaret Atwood_010.txt",0.156934306569343
"2031","Testaments, The - Margaret Atwood_090.txt",0.126016260162602
"2117","Testaments, The - Margaret Atwood_176.txt",0.172794117647059
"2125","Testaments, The - Margaret Atwood_184.txt",0.110526315789474
"2156","Testaments, The - Margaret Atwood_215.txt",0.118556701030928
