"","x"
"Brief History of Seven Killings, A - Marlon James_014.txt",17
"Brief History of Seven Killings, A - Marlon James_040.txt",17
"Brief History of Seven Killings, A - Marlon James_042.txt",17
"Brief History of Seven Killings, A - Marlon James_060.txt",17
"Brief History of Seven Killings, A - Marlon James_066.txt",17
"Brief History of Seven Killings, A - Marlon James_069.txt",17
"Brief History of Seven Killings, A - Marlon James_074.txt",17
"Brief History of Seven Killings, A - Marlon James_075.txt",17
"Brief History of Seven Killings, A - Marlon James_076.txt",17
"Brief History of Seven Killings, A - Marlon James_077.txt",17
"Brief History of Seven Killings, A - Marlon James_091.txt",17
"Brief History of Seven Killings, A - Marlon James_093.txt",17
"Brief History of Seven Killings, A - Marlon James_101.txt",17
"Brief History of Seven Killings, A - Marlon James_104.txt",17
"Brief History of Seven Killings, A - Marlon James_105.txt",17
"Brief History of Seven Killings, A - Marlon James_107.txt",17
"Brief History of Seven Killings, A - Marlon James_120.txt",17
"Brief History of Seven Killings, A - Marlon James_121.txt",17
"Brief History of Seven Killings, A - Marlon James_124.txt",17
"Brief History of Seven Killings, A - Marlon James_125.txt",17
"Brief History of Seven Killings, A - Marlon James_126.txt",17
"Brief History of Seven Killings, A - Marlon James_131.txt",17
"Brief History of Seven Killings, A - Marlon James_138.txt",17
"Brief History of Seven Killings, A - Marlon James_139.txt",17
"Brief History of Seven Killings, A - Marlon James_140.txt",17
"Brief History of Seven Killings, A - Marlon James_141.txt",17
"Brief History of Seven Killings, A - Marlon James_142.txt",17
"Brief History of Seven Killings, A - Marlon James_143.txt",17
"Brief History of Seven Killings, A - Marlon James_148.txt",17
"Brief History of Seven Killings, A - Marlon James_149.txt",17
"Brief History of Seven Killings, A - Marlon James_153.txt",17
"Brief History of Seven Killings, A - Marlon James_154.txt",17
"Brief History of Seven Killings, A - Marlon James_155.txt",17
"Brief History of Seven Killings, A - Marlon James_156.txt",17
"Brief History of Seven Killings, A - Marlon James_160.txt",17
"Brief History of Seven Killings, A - Marlon James_163.txt",17
"Brief History of Seven Killings, A - Marlon James_165.txt",17
"Brief History of Seven Killings, A - Marlon James_173.txt",17
"Brief History of Seven Killings, A - Marlon James_175.txt",17
"Brief History of Seven Killings, A - Marlon James_187.txt",17
"Brief History of Seven Killings, A - Marlon James_191.txt",17
"Brief History of Seven Killings, A - Marlon James_194.txt",17
"Brief History of Seven Killings, A - Marlon James_201.txt",17
"Brief History of Seven Killings, A - Marlon James_203.txt",17
"Brief History of Seven Killings, A - Marlon James_204.txt",17
"Brief History of Seven Killings, A - Marlon James_205.txt",17
"Brief History of Seven Killings, A - Marlon James_208.txt",17
"Brief History of Seven Killings, A - Marlon James_217.txt",17
"Brief History of Seven Killings, A - Marlon James_219.txt",17
"Brief History of Seven Killings, A - Marlon James_220.txt",17
"Brief History of Seven Killings, A - Marlon James_223.txt",17
"Brief History of Seven Killings, A - Marlon James_224.txt",17
"Brief History of Seven Killings, A - Marlon James_225.txt",17
"Brief History of Seven Killings, A - Marlon James_230.txt",17
"Brief History of Seven Killings, A - Marlon James_232.txt",17
"Brief History of Seven Killings, A - Marlon James_233.txt",17
"Brief History of Seven Killings, A - Marlon James_234.txt",17
"Brief History of Seven Killings, A - Marlon James_237.txt",17
"Brief History of Seven Killings, A - Marlon James_238.txt",17
"Brief History of Seven Killings, A - Marlon James_268.txt",17
"Brief History of Seven Killings, A - Marlon James_270.txt",17
"Brief History of Seven Killings, A - Marlon James_276.txt",17
"Brief History of Seven Killings, A - Marlon James_281.txt",17
"Brief History of Seven Killings, A - Marlon James_288.txt",17
"Brief History of Seven Killings, A - Marlon James_290.txt",17
"Brief History of Seven Killings, A - Marlon James_291.txt",17
"Brief History of Seven Killings, A - Marlon James_292.txt",17
"Brief History of Seven Killings, A - Marlon James_301.txt",17
"Brief History of Seven Killings, A - Marlon James_302.txt",17
"Brief History of Seven Killings, A - Marlon James_305.txt",17
"Brief History of Seven Killings, A - Marlon James_327.txt",17
"Brief History of Seven Killings, A - Marlon James_332.txt",17
"Brief History of Seven Killings, A - Marlon James_333.txt",17
"Brief History of Seven Killings, A - Marlon James_339.txt",17
"Brief History of Seven Killings, A - Marlon James_340.txt",17
"Brief History of Seven Killings, A - Marlon James_341.txt",17
"Brief History of Seven Killings, A - Marlon James_342.txt",17
"Brief History of Seven Killings, A - Marlon James_354.txt",17
"Brief History of Seven Killings, A - Marlon James_358.txt",17
"Brief History of Seven Killings, A - Marlon James_364.txt",17
"Brief History of Seven Killings, A - Marlon James_365.txt",17
"Brief History of Seven Killings, A - Marlon James_366.txt",17
"Brief History of Seven Killings, A - Marlon James_368.txt",17
"Brief History of Seven Killings, A - Marlon James_369.txt",17
"Brief History of Seven Killings, A - Marlon James_371.txt",17
"Brief History of Seven Killings, A - Marlon James_378.txt",17
"Brief History of Seven Killings, A - Marlon James_379.txt",17
"Brief History of Seven Killings, A - Marlon James_380.txt",17
"Brief History of Seven Killings, A - Marlon James_381.txt",17
"Brief History of Seven Killings, A - Marlon James_382.txt",17
"Brief History of Seven Killings, A - Marlon James_383.txt",17
"Brief History of Seven Killings, A - Marlon James_384.txt",17
"Brief History of Seven Killings, A - Marlon James_385.txt",17
"Brief History of Seven Killings, A - Marlon James_386.txt",17
"Brief History of Seven Killings, A - Marlon James_387.txt",17
"Brief History of Seven Killings, A - Marlon James_388.txt",17
"Brief History of Seven Killings, A - Marlon James_393.txt",17
"Brief History of Seven Killings, A - Marlon James_394.txt",17
"Brief History of Seven Killings, A - Marlon James_402.txt",17
"Brief History of Seven Killings, A - Marlon James_403.txt",17
"Brief History of Seven Killings, A - Marlon James_404.txt",17
"Brief History of Seven Killings, A - Marlon James_405.txt",17
"Brief History of Seven Killings, A - Marlon James_406.txt",17
"Brief History of Seven Killings, A - Marlon James_411.txt",17
"Brief History of Seven Killings, A - Marlon James_412.txt",17
"Brief History of Seven Killings, A - Marlon James_415.txt",17
"Brief History of Seven Killings, A - Marlon James_421.txt",17
"Brief History of Seven Killings, A - Marlon James_423.txt",17
"Brief History of Seven Killings, A - Marlon James_427.txt",17
"Brief History of Seven Killings, A - Marlon James_428.txt",17
"Brief History of Seven Killings, A - Marlon James_429.txt",17
"Brief History of Seven Killings, A - Marlon James_430.txt",17
"Brief History of Seven Killings, A - Marlon James_434.txt",17
"Brief History of Seven Killings, A - Marlon James_437.txt",17
"Brief History of Seven Killings, A - Marlon James_438.txt",17
"Brief History of Seven Killings, A - Marlon James_439.txt",17
"Brief History of Seven Killings, A - Marlon James_441.txt",17
"Brief History of Seven Killings, A - Marlon James_443.txt",17
"Brief History of Seven Killings, A - Marlon James_444.txt",17
"Brief History of Seven Killings, A - Marlon James_449.txt",17
"Brief History of Seven Killings, A - Marlon James_452.txt",17
"Brief History of Seven Killings, A - Marlon James_456.txt",17
"Brief History of Seven Killings, A - Marlon James_457.txt",17
"Brief History of Seven Killings, A - Marlon James_458.txt",17
"Brief History of Seven Killings, A - Marlon James_466.txt",17
"Brief History of Seven Killings, A - Marlon James_467.txt",17
"Brief History of Seven Killings, A - Marlon James_468.txt",17
"Brief History of Seven Killings, A - Marlon James_471.txt",17
"Brief History of Seven Killings, A - Marlon James_472.txt",17
"Brief History of Seven Killings, A - Marlon James_474.txt",17
"Brief History of Seven Killings, A - Marlon James_477.txt",17
"Brief History of Seven Killings, A - Marlon James_478.txt",17
"Brief History of Seven Killings, A - Marlon James_479.txt",17
"Brief History of Seven Killings, A - Marlon James_480.txt",17
"Brief History of Seven Killings, A - Marlon James_481.txt",17
"Brief History of Seven Killings, A - Marlon James_482.txt",17
"Brief History of Seven Killings, A - Marlon James_483.txt",17
"Girl, Woman, Other - Bernardine Evaristo_031.txt",17
"Girl, Woman, Other - Bernardine Evaristo_160.txt",17
"Lincoln in the Bardo - George Saunders_040.txt",17
"Midnight's Children - Salman Rushdie_180.txt",17
"Milkman - Anna Burns_045.txt",17
"Sellout, The - Paul Beatty_026.txt",17
"Sellout, The - Paul Beatty_032.txt",17
"Sellout, The - Paul Beatty_037.txt",17
"Sellout, The - Paul Beatty_063.txt",17
"Sellout, The - Paul Beatty_074.txt",17
"Sellout, The - Paul Beatty_091.txt",17
"Sellout, The - Paul Beatty_109.txt",17
"Sellout, The - Paul Beatty_135.txt",17
"Testaments, The - Margaret Atwood_007.txt",17
"Testaments, The - Margaret Atwood_011.txt",17
"Testaments, The - Margaret Atwood_110.txt",17
